ccodewb,party,partynum,dw,d2,d5,d1,d4,e2,partysize
EST,SDE,5,4.4444447,4.5555553,3.8888888,3.5555556,3.6666667,3.5555556,8.8000002
EST,Kesk,2,4.2222223,4.1111112,4.5555553,3.2222223,3.4444444,3.2222223,25.75
FIN,KD,6,6.7222223,5.1666665,6.8823528,4.1176472,4.7222223,3.375,5.1000004
FIN,VIHR,5,4.2352943,4.6111112,2.4705882,3.6470587,1.9444444,3.6470587,8.25
FIN,KOK,3,7.8333335,7.7777777,4.9411764,6.5882354,5,3.3529413,20.450001
FIN,PS,8,5.7333331,4.375,6.1999998,3,7.4444447,3.625,2.8499999
FIN,KESK,1,6.1111112,5.1111112,5.5294118,4.8823528,4.8888888,3.4117646,23.900002
FIN,VAS,4,2.6111112,2.5,3.7647059,2.1176472,3.1111112,3.3529413,9.3500004
FIN,SDP,2,3.8333333,3.7777777,4.2352943,3.2352941,3.3888888,3.5882354,22.950001
FIN,RKP/SFP,7,6.9444447,6.8333335,3.3529413,5.5882354,2.5555556,2.9411764,4.5500002
FRA,Ligue Communiste Révolutionnaire (LCR),7,1.2,1.6,2.2666667,1,2.2142856,2.6923077,2.3499999
FRA,Union pour un Mouvement Populaire (UMP),2,7.7333331,6.4000001,6.4666667,7.7333331,7.3076925,3.2142856,36.400002
FRA,Les Verts,5,3.2,2.9333334,2,2.7333333,1.9285715,3.2142856,3.9000001
FRA,Front National (FN),1,9.666667,7.6153846,8.6000004,8.0714283000000009,9.9333334,2.7857144,7.8000002
FRA,Parti Socialiste (PS),4,3.8,3.8666666,3.1333334,3.4000001,3.9230769,3.1428571,24.400002
FRA,Parti Communiste Français (PCF),6,1.9333333,1.8,3.2,1.2666667,3,2.9285715,4.5500002
FRA,Mouvement Démocrate (MoDem),3,5.6428571,5.5333333,5.4666667,5.6428571,4.8571429,2.8571429,6.25
GEO,United National Movement (UNM),1,6,8.125,4.625,3.7777777,4,3.3333333,63.099998
GEO,New Rights (Conservative) Party of Georgia (NCP),4,7.5555553,8.2857141,4.8571429,5.8571429,4.2857141,2.7777777,12.650001
GEO,Georgian Labor Party (GLP),3,2.625,2.6666667,6.1666665,2.75,4.7142859,3.3333333,6.6000004
GEO,Christian Democratic Movement (CDM),2,6,5.8333335,6.5,3.1666667,4.7777777,3.25,4.3499999
DEU,Radical Right,7,9.909091,2.1428571,9.3999996,2.5714285,9.913043,3.4375,1.05
DEU,CSU,2,7.0869565,5.2173915,7.0434785,4.869565,7.869565,3.55,8.1999998
DEU,Gruene,5,3.2857144,4.7272725,1.6956521,4.2727275,1.826087,3.9047618,8.3500004
DEU,SPD,3,3.8695652,3.5652175,3.8695652,3.6086957,4,3.4285715,36.349998
DEU,Linke,6,1.7272727,1.3043479,3.3333333,1.6521739,4.3333335,3.8571429,6.3499999
DEU,CDU,1,6.347826,5.9130435,6.130435,5.521739,6.6363635,3.4285715,28.65
DEU,FDP,4,6.409091,8.695652,2.4347825,8.347826,3.7826087,3.7142856,8.6000004
GHA,New Patriotic Party,1,7.5,7.9230771,4.0833335,5.3000002,4.7692308,3.6363637,49.714912
GHA,National Democratic Congress,2,5.7777777,3.6923077,5.8333335,3.25,4.7692308,3.3,47.299999
GHA,People's National Convention,3,4.6666665,3,3.3333333,2.5,3,3.3636363,1.3885965
GRC,ND,1,7,7,6.4000001,6,6.0666666,2.7142856,43.599998
GRC,KKE,3,1.4666667,1.0666667,3.2,1.6666666,2.5,3.8,7.0500002
GRC,LAOS,5,9.1333332,3.5555556,9,3.1111112,8.8000002,2.9230769,3
GRC,SYRIZA,4,2.0666666,1.8,1.1428572,2.2666667,1.8,3.6666667,4.1500001
GRC,PASOK,2,4.4000001,4.8571429,3.2,4.4666667,3.4666667,3.0714285,39.299999
GTM,GANA,2,8.5,7.3000002,5.875,5.9000001,7.1999998,3.4000001,20.4
GTM,PP,5,8.8999996,7.1999998,5.4444447,6,7.6999998,3.2,7.9499998
GTM,FRG,1,7.3000002,4.9000001,7.2222223,4.5,6.3000002,2.7,14.75
GTM,UNE,7,4.6999998,4.5999999,5.5555553,3.4000001,4,3.4000001,20.599998
GTM,INT,3,6,6,5,5,5,2.5,2.2
GTM,PAN,4,8.1111107,6.6999998,6.2857141,5.8000002,7.5555553,2.7777777,7.75
GTM,PSN,6,8.1428576,6.1999998,6.3333335,5.5,7.5,2.2,0
HND,Bancada Nacional,2,6.090909,6.5,6.8333335,6.25,6,3.0833333,44.734375
HND,Bancada Liberal,1,6.9166665,6.9166665,6.5833335,6.3333335,6,3,44.618752
HUN,Szabad Demokraták Szövetsége,1,4.7333331,6.9285712,2.6428571,6,2.9285715,3.4666667,6.0500002
HUN,Magyar Demokrata Fórum,4,6.6666665,6.5,5.5384617,6.2142859,5.6923075,3.5999999,4.8500004
HUN,Fidesz - Magyar Polgári Szövetség,3,7.5333333,3.5714285,6.5,4.3846154,5.7857141,3.5999999,36.199997
HUN,Magyar Szocialista Párt,5,2.8571429,5.5714288,4.5,4.8571429,4.2142859,3.5999999,42.599998
HUN,Kereszténydemokrata Néppárt,2,7.9333334,3.5,7.9230771,3.5384614,6.2857141,3.0714285,4.9000001
IND,Janata Dal (Secular),17,4.7692308,5.0999999,4.4000001,4,2.2222223,2.7857144,1.15
IND,Anna DMK,15,5.4000001,5.1538463,5.0833335,3.6666667,2.7692308,2.9375,1.95
IND,Janata Dal (United),7,4.8636365,4.4444447,3.5,4.2380953,2.9565217,2.6500001,1.95
IND,Rashtriya Janata Dal,8,4.2432432,4,3.8387096,3.5263157,2.6923077,2.7179487,1.85
IND,Biju Janata Dal,13,5.4615383,4.5999999,3,4.1666665,3.875,2.9000001,1.45
IND,CPI/Marxist,4,1.64,2.6027398,2.9402986,2.830986,2.4366198,3.8472223,5.5
IND,Shiv Sena,11,8.5,4.7692308,8.5714283000000009,5.090909,7.7857141,2.8823528,1.7
IND,Dravida Munnetra Kazhagarm,14,4.3333335,4.9230771,4.6153846,3.6153846,2.3846154,3.0588236,1.8
IND,BJP (Bharatiya Janata Party),2,9.2236843,6.3461537,8,6.1142859,8.5974026,3.3205128,20.5
IND,INC (Indian National Congress),5,5.5064936,5.8441558,3.9466667,4.0958905,3.2266667,3.2405064,27.549999
IND,Samajwadi Party,10,4.0714288,4.1111112,3.3461537,3.5,2.0344827,2.7692308,3.8500001
