country,partyfacts_id,name_short,ches_short,ches_id,ches_left_right,ches_gal_tan,ches_economy,ches_redistribute,dalp_short,dalp_id,dalp_left_right,dalp_gal_tan,dalp_economy,dalp_redistribute,dalp_identity,mp_id,mp_short,mp_left_right,wvs_short,wvs_id,wvs_left_right
MNE,3255,BS,,,,,,,,,,,,,,91920,BS,-11.33,,,
MNE,5469,DCG,,,,,,,,,,,,,,91440,DCG,0.81,,,
MNE,5467,DEMOS,,,,,,,,,,,,,,91610,DEMOS,3.21,,,
MNE,6087,DF,,,,,,,,,,,,,,91060,DF,-8.27,,,
MNE,3162,DPS,,,,,,,,,,,,,,91222,PSCG,-1.38,,,
MNE,3254,DSCG,,,,,,,,,,,,,,91952,DSCG,7.29,,,
MNE,3163,DZB-PCG-KECG,,,,,,,,,,,,,,91323,DZB,0,,,
MNE,7624,KC,,,,,,,,,,,,,,91030,,-2.62,,,
MNE,4768,LPCG,,,,,,,,,,,,,,91421,LPCG,19.36,,,
MNE,3164,LSCG,,,,,,,,,,,,,,91420,LSCG,17.86,,,
MNE,3252,NOVA,,,,,,,,,,,,,,91910,NOVA,18.75,,,
MNE,3645,NS,,,,,,,,,,,,,,91710,NS,10.53,,,
MNE,4767,PCG,,,,,,,,,,,,,,91330,PCG,19.81,,,
MNE,4766,PzP,,,,,,,,,,,,,,91430,PzP,-14.85,,,
MNE,3103,SDACG,,,,,,,,,,,,,,91953,SDACG,8.2,,,
MNE,5470,SDCG,,,,,,,,,,,,,,91324,SDCG,-23.46,,,
MNE,3185,SDPCG,,,,,,,,,,,,,,91321,SDP CG,17.32,,,
MNE,3184,SDPR,,,,,,,,,,,,,,91320,SDPR,-3.61,,,
MNE,3104,SNP-CG,,,,,,,,,,,,,,91224,SNP CG,-10.58,,,
MNE,5486,SNS,,,,,,,,,,,,,,91712,SNS,5.73,,,
MNE,4079,SRSCG,,,,,,,,,,,,,,91229,SRSCG,-1.27,,,
MNE,3161,SSR,,,,,,,,,,,,,,91711,SRS,33.5,,,
MNE,2822,unknown,,,,,,,,,,,,,,91223,SP,-13.33,,,
MNE,5468,URA,,,,,,,,,,,,,,91322,URA,-31.87,,,
MNG,2467,1-perc,,,,,,,USN,MNG-4,5.4,7.58,5.11,2.67,7.73,,,,,,
MNG,2321,AN,,,,,,,AN,MNG-1,6.71,3.36,6.2,5.4,4.8,,,,,,
MNG,4902,EON/MASSN,,,,,,,EN,MNG-5,3.17,4.33,4.25,4.33,5.25,,,,,,
MNG,2468,IZN,,,,,,,IZN,MNG-2,6.9,3.55,5.45,6.25,4.44,,,,,,
MNG,2322,MAN,,,,,,,AKN,MNG-3,3.31,6.57,3.27,3.67,5.73,,,,,,
MOZ,2314,FRELIMO,,,,,,,FRELIMO,MOZ-1,5.88,5.31,6.08,4.82,6.23,,,,,,
MOZ,2315,RENAMO,,,,,,,RENAMO,MOZ-2,5.78,5.5,7.45,4,4.75,,,,,,
MUS,2460,MMM,,,,,,,MMM,MUS-3,6,4.2,4,3.55,3.18,,,,,,
MUS,2464,MR,,,,,,,MR,MUS-6,5.57,4.5,4.33,2.83,3,,,,,,
